,NAME,Biden,Trump,Trump_mean,Biden_mean,Trump_std,Biden_std
24,Michigan,49.57495700167115,41.36973765930927,42.55546826935034,50.08537631974803,1.8402457475852798,1.2099623991015556
25,Minnesota,52.14739447019043,41.459323128126236,42.38157722711059,52.03879510903658,1.7687065489498495,2.6623248845156415
26,Mississippi,41.99828550809272,54.08746822191246,55.2424561976485,41.265280104510865,2.4116717023478818,2.079232889971001
27,Missouri,44.18173792196608,51.68043773719887,51.48624004147112,44.345439130197555,1.5318058251337454,1.419975691828819
28,Montana,44.36580306257473,52.10567643164188,51.96055361473543,43.36180058157333,1.9411988374926936,1.5888219039042404
29,Nebraska,44.62697812397863,53.900503844749174,53.74709559257947,44.55382685414944,1.347466766793724,1.5316136420093813
30,Nevada,48.520906396738276,46.484381978216646,45.97872900644186,48.16080046295618,3.0153222103714348,2.1030168079490723
31,New Hampshire,54.402697721250036,41.53148688056,41.256925775096306,54.166396312586365,1.2800686634755771,2.8514084164315605
32,New Jersey,57.28336414553386,36.44019004139056,36.15613318779983,56.535902184235525,1.6621388559877568,2.5026166882475236
33,New Mexico,53.47123026827963,44.27541498488814,44.76737965737387,52.1500217009881,2.865845499227138,1.8531632926730572
34,New York,63.59990834104467,32.87713850496686,32.56532201405155,63.33848360655737,0.9759596281615405,0.8743820049745218
35,North Carolina,47.920886380099596,45.8042743701696,46.01196331428321,48.02401585217725,1.05196233252296,1.4607434057033444
36,North Dakota,36.17839730234897,62.245085200067685,61.79586405529954,35.26008596242463,3.7453917802065035,2.191611463029257
37,Ohio,46.245102289197106,46.59251299660111,47.22448750504768,46.42600961389121,2.1289894728846432,0.9995972168349948
38,Oklahoma,36.62607542017546,58.61314409892728,59.102957811419365,36.493742411434766,1.9548284914648124,1.9431672987779287
39,Oregon,59.12836740666268,38.811096318401994,38.34397140493914,58.491398735672945,0.43424469925600284,2.6863592866541484
40,Pennsylvania,49.7073617867377,44.46375773153728,44.0363205585621,49.784751631670495,1.2165602892509297,1.0291287325170546
41,Rhode Island,60.13610424107236,38.779540683625,38.2423038520619,60.28038599393439,3.0448648477256812,3.258446126590873
42,South Carolina,44.95384993135614,50.82061736298695,50.53003927744158,44.93772087780384,1.1084930171128677,1.0988365661758175
43,South Dakota,36.21838101466515,61.52952734198902,59.596858875891144,38.22125221552641,2.61901560855973,2.7017924957541353
44,Tennessee,39.99495509367778,58.19018508451289,57.94178581275357,40.172034247114894,1.3154766727057066,1.2995314718439697
45,Texas,45.57645733940997,47.29626125872297,47.391082454471615,46.3919074833056,1.209463011414689,1.0960820871805261
46,Utah,40.33082496867898,54.82330616577708,54.40733336969068,39.64494876642517,1.97964442895486,3.1253546385596023
47,Vermont,67.48846181745513,29.124865806365623,29.67293335696561,66.84521909094501,3.614656656285388,4.566006262904304
48,Virginia,53.23697844853817,40.66967179175076,40.81677672155404,53.461056854002216,1.047099295873787,1.8937995007286688
49,Washington,60.13923508618158,36.637672557299155,35.380503889115026,60.627696942974715,2.2177404466002,1.0844091393016657
50,West Virginia,31.274575114925785,66.78786999352653,64.98833181692864,32.657244298712044,3.311645040457491,2.3645660534249915
51,Wisconsin,49.703665172882296,42.59417980514103,43.11424305035909,50.246847103551225,0.8711115615317808,1.3526848639171871
52,Wyoming,28.182664929411708,70.66372278192175,69.96459834967895,28.588945409429275,3.6356907464767985,3.4377092304975267
